year,indicator,channel_code,mapped_name,purpose_name,share
2015,multilateral_purpose_spending_shares,41140,world food programme,Other,0.05071467541594398
2015,multilateral_purpose_spending_shares,41140,world food programme,"Social infrastructure, protection and services",0.004483233152928115
2015,multilateral_purpose_spending_shares,41140,world food programme,Transport & Storage and communications,0.0005319360246906553
2015,multilateral_purpose_spending_shares,41140,world food programme,Unallocated/ Unspecificed,0.08159265885178116
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Administrative Costs of Donors,0.13931473752981172
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Agriculture and Forestry & Fishing,0.0005394154246914168
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Banking & Financial Services and Business,0.054492329009164356
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Civil society,0.13187813343716837
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Education,0.020181256222776566
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Energy,7.774764655275234e-05
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Humanitarian,0.0013054761628397348
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,"Industry, Mining, Construction",0.0004308767904930814
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Multi-sector,0.0005328822381148677
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,"Social infrastructure, protection and services",0.650828748968306
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Trade Policies & Regulations,0.00014653570681027523
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Transport & Storage and communications,0.00011564310283326629
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,Unallocated/ Unspecificed,0.0001562177604374713
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,Agriculture and Forestry & Fishing,0.8248448115756125
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,Civil society,0.022667052394212944
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,Environment Protection,0.05757013290279042
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,Health,0.05089225999070511
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,Humanitarian,0.013610241711392466
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,"Industry, Mining, Construction",0.011778214429096896
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,Multi-sector,0.017606046285707347
2015,multilateral_purpose_spending_shares,41305,united nations,Administrative Costs of Donors,0.21215769851479163
2015,multilateral_purpose_spending_shares,41305,united nations,Banking & Financial Services and Business,4.818060987691973e-06
2015,multilateral_purpose_spending_shares,41305,united nations,Civil society,0.014440597080043565
2015,multilateral_purpose_spending_shares,41305,united nations,Conflict Peace and Security,0.06440892967651875
2015,multilateral_purpose_spending_shares,41305,united nations,Government,0.02190479401283512
2015,multilateral_purpose_spending_shares,41305,united nations,Health,0.0020562430162518403
2015,multilateral_purpose_spending_shares,41305,united nations,Humanitarian,0.6714616828490135
2015,multilateral_purpose_spending_shares,41305,united nations,Multi-sector,0.0027603332497838
2015,multilateral_purpose_spending_shares,41305,united nations,"Social infrastructure, protection and services",0.008080118787004731
2015,multilateral_purpose_spending_shares,41305,united nations,Water Supply & Sanitation,0.0027247847527692485
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,Health,0.9126386343358548
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,Humanitarian,0.08735888240834175
2015,multilateral_purpose_spending_shares,41312,international atomic energy agency assessed contributions,Unallocated/ Unspecificed,1.0000000000000002
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Agriculture and Forestry & Fishing,0.03469322025425297
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Banking & Financial Services and Business,0.03215629098816156
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Civil society,0.001350962435937027
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Conflict Peace and Security,0.05198592928123364
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Energy,0.025847140473540954
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Environment Protection,0.37682826054054136
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Health,0.026864427168465026
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,"Industry, Mining, Construction",0.03863048465088026
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,"Social infrastructure, protection and services",0.03098644100294603
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Trade Policies & Regulations,0.03824215901825309
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Transport & Storage and communications,0.154834196531422
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Unallocated/ Unspecificed,0.0033908843362737383
2015,multilateral_purpose_spending_shares,41314,united nations economic commission for europe extrabudgetary contributions only,Water Supply & Sanitation,0.18418960331809228
2015,multilateral_purpose_spending_shares,41317,green climate fund,Government,1.0
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Action Relating to Debt,0.00010037417097868843
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Administrative Costs of Donors,0.061062195482969206
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Agriculture and Forestry & Fishing,0.06230986548287193
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Banking & Financial Services and Business,0.009158641680724059
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Civil society,0.04663016345934222
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Conflict Peace and Security,0.04673443355571747
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Education,0.0638718092629815
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Energy,0.030672268872964967
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Environment Protection,0.024858770198860528
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,General Budget Support,0.08017554063309419
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Government,0.07774330797765197
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Health,0.049889180137729174
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Humanitarian,0.15614913024172483
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,"Industry, Mining, Construction",0.01431183593181407
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Multi-sector,0.061019478174597255
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Other,0.017202853267933953
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Refugees in Donor Countries,0.0012568136906528221
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,"Social infrastructure, protection and services",0.05483329909952404
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Trade Policies & Regulations,0.019882915068656793
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Transport & Storage and communications,0.0668304080331611
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Unallocated/ Unspecificed,0.014998885295437577
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,Water Supply & Sanitation,0.04009457368109614
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,,0.00021324939446966282
2015,multilateral_purpose_spending_shares,42004,european investment bank,Agriculture and Forestry & Fishing,0.01603483572023988
2015,multilateral_purpose_spending_shares,42004,european investment bank,Banking & Financial Services and Business,0.4081715635163597
2015,multilateral_purpose_spending_shares,42004,european investment bank,Education,0.002255699067672133
2015,multilateral_purpose_spending_shares,42004,european investment bank,Energy,0.13423678826883856
2015,multilateral_purpose_spending_shares,42004,european investment bank,Government,0.0002556850490023798
2015,multilateral_purpose_spending_shares,42004,european investment bank,Humanitarian,0.0038352760807858328
