year,indicator,channel_code,mapped_name,share
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0
2015,multilateral_purpose_spending_shares,41108,international fund for agricultural development,0.0
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.015598759171162886
2015,multilateral_purpose_spending_shares,41130,united nations relief and works agency for palestine refugees in the near east,0.5769896693837059
2015,multilateral_purpose_spending_shares,41140,world food programme,0.09534022370928581
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.01218536643474489
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.006342357365074412
2015,multilateral_purpose_spending_shares,44002,international development association,0.03297255005531856
2015,multilateral_purpose_spending_shares,44004,international finance corporation,nan
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.004129821699930599
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.02030326520698085
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.014438608601644533
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0032323184459722054
2015,multilateral_purpose_spending_shares,,,5.274352823391219e-05
2015,multilateral_purpose_spending_shares,41108,international fund for agricultural development,0.0
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.0007290167160935571
2015,multilateral_purpose_spending_shares,41119,united nations population fund,0.014643121423590911
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0013548698402700348
2015,multilateral_purpose_spending_shares,41140,world food programme,0.004894918991915119
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0020005592892467345
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0014017712496285314
2015,multilateral_purpose_spending_shares,44002,international development association,0.002750309139619918
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0004487873155000166
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,1.8592815653426725e-05
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.00014529768766581905
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0032982877170709426
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0004113875866760177
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.00216998861246844
2015,multilateral_purpose_spending_shares,44002,international development association,0.0031093136542809114
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0012195032590561173
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.00034877952610967
2015,multilateral_purpose_spending_shares,41114,united nations development programme,5.5131720860312846e-05
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.00048103813762706766
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0003677085672021921
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.008433399895088546
2015,multilateral_purpose_spending_shares,44002,international development association,0.021065374011246838
2015,multilateral_purpose_spending_shares,46002,african development bank,0.001041812408546469
2015,multilateral_purpose_spending_shares,46003,african development fund,0.008620696287895335
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.009130191426150989
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.01727875920654339
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.00019543511898651768
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47134,clean technology fund,5.698573385285817e-05
2015,multilateral_purpose_spending_shares,47135,strategic climate fund,0.0007106545602553008
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0008563668095957649
2015,multilateral_purpose_spending_shares,,,0.0012167882548377897
2015,multilateral_purpose_spending_shares,41108,international fund for agricultural development,0.0
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.0003565456352303442
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,0.01267013142171501
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.006733760041032487
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.00808148146992732
2015,multilateral_purpose_spending_shares,44002,international development association,0.008077955093397296
2015,multilateral_purpose_spending_shares,46000,regional development bank,0.0003730374902677719
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0008684969300404836
2015,multilateral_purpose_spending_shares,46003,african development fund,0.012873161628609858
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.009429011890104984
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,9.829316608125425e-05
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.00012676736006935935
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.004993616623856342
2015,multilateral_purpose_spending_shares,,,0.00010545006690299001
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.00043112847405194713
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.02047507896230509
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0032744135977177936
2015,multilateral_purpose_spending_shares,44002,international development association,0.013227747402322557
2015,multilateral_purpose_spending_shares,44004,international finance corporation,nan
2015,multilateral_purpose_spending_shares,46002,african development bank,6.064090228157747e-05
2015,multilateral_purpose_spending_shares,46003,african development fund,0.010462592116937376
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0020299233026810845
2015,multilateral_purpose_spending_shares,46009,caribbean development bank,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.0012351585537721391
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,2.624352852694223e-06
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0009152948543273225
2015,multilateral_purpose_spending_shares,,,0.002654268463624994
2015,multilateral_purpose_spending_shares,41144,international labour organisation regular budget supplementary account,0.007511124801061557
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.00030967465858677584
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0012215466362616933
2015,multilateral_purpose_spending_shares,44002,international development association,0.0006870194495346586
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.001882495716923141
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.0005065809535461913
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0006464273110180945
2015,multilateral_purpose_spending_shares,,,0.001206469602736958
2015,multilateral_purpose_spending_shares,41110,joint united nations programme on hiv aids,0.029226736421669407
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.001368989122876987
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.01644823685305893
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.4310075990955148
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.008242980762661374
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.012524232639439654
2015,multilateral_purpose_spending_shares,44002,international development association,0.016134062562027242
2015,multilateral_purpose_spending_shares,44004,international finance corporation,nan
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0013056978294938154
2015,multilateral_purpose_spending_shares,46003,african development fund,0.01264998997382864
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.003933418795441076
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.042626295298687965
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.018108997507781794
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47045,global fund to fight aids tuberculosis and malaria,0.006753152404070693
2015,multilateral_purpose_spending_shares,47122,global alliance for vaccines and immunization,0.00540101258398685
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.00018952201705570122
2015,multilateral_purpose_spending_shares,,,0.0017220782797447674
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.029927784239319744
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.00027774696055668773
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,1.466502682305732e-05
2015,multilateral_purpose_spending_shares,44002,international development association,0.0004462557454806749
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.00010735549512039643
2015,multilateral_purpose_spending_shares,,,0.00010434361205585733
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.041179988054347624
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.00011341692917542473
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,4.32408371944039e-05
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,1.0441702185395816e-05
2015,multilateral_purpose_spending_shares,41114,united nations development programme,9.157353165399474e-05
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.012741405314733728
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.07602458215645219
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0013058414273820784
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0029765084331097053
2015,multilateral_purpose_spending_shares,44002,international development association,0.0014416325399324117
2015,multilateral_purpose_spending_shares,44004,international finance corporation,nan
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,0.009550903936855776
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.03247470199144337
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.010314359857653875
2015,multilateral_purpose_spending_shares,,,0.003382165640047032
2015,multilateral_purpose_spending_shares,41108,international fund for agricultural development,0.0
2015,multilateral_purpose_spending_shares,41110,joint united nations programme on hiv aids,0.03180653697845116
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.00022065855983119235
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.03503951443306694
2015,multilateral_purpose_spending_shares,41130,united nations relief and works agency for palestine refugees in the near east,0.17316947577875527
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.04434673146024063
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.020870314407198155
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.007640454752625201
2015,multilateral_purpose_spending_shares,44002,international development association,0.01634062492254503
2015,multilateral_purpose_spending_shares,46000,regional development bank,0.0016148289569768428
2015,multilateral_purpose_spending_shares,46002,african development bank,0.0
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0027158576275836577
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,1.7984308907921503e-05
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.010611387156235623
2015,multilateral_purpose_spending_shares,46024,council of europe development bank,0.008462674932302142
2015,multilateral_purpose_spending_shares,46025,islamic development bank,0.0
2015,multilateral_purpose_spending_shares,47045,global fund to fight aids tuberculosis and malaria,0.004187334382518154
2015,multilateral_purpose_spending_shares,47122,global alliance for vaccines and immunization,0.846355374495741
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0004905029629852865
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.0007870516591482339
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.0005005066363426476
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.0008727805391329716
